pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
Thursday,rainy,winter,night,not manhattan,74416.13,247419.4,42322.9,337629.77999999997,178694.38333333333,27215.565943680547,94853.1701323464,7825
Thursday,sunny,fall,day,manhattan,2228279.62,11201996.96,2230081.88,16897773.05,14281174.35,7142219.937111735,11209071.731444346,890871
Thursday,sunny,fall,day,not manhattan,1293823.71,4286594.25,722908.74,5907463.24,4782699.5,687458.6905053896,1531638.9813926648,131940
Thursday,sunny,fall,night,manhattan,731767.05,3046698.73,623754.12,4643632.36,3283208.1,1322671.125083401,3178977.8437092397,245994
Thursday,sunny,fall,night,not manhattan,410581.46,1257907.2,213201.13999999998,1706098.49,963560.9,137604.43343305102,482698.7509580113,40726
Thursday,sunny,spring,day,manhattan,2149675.85,10504414.7,2098275.41,15980498.06,12993405.483333332,6515008.922114002,10916315.708787145,873971
Thursday,sunny,spring,day,not manhattan,1096028.59,3592404.15,610668.02,4976983.84,3918663.75,588991.4266672708,1362568.265088462,116265
Thursday,sunny,spring,night,manhattan,565508.4,2285749.96,467418.43,3513511.42,2343107.8666666667,955011.3271754096,2473358.241245624,193371
Thursday,sunny,spring,night,not manhattan,298796.78,905652.48,153807.75,1228302.5,664406.9833333333,94355.07299908537,353353.4603666679,29870
Thursday,sunny,summer,day,manhattan,2001436.28,9669214.35,1907668.97,14730927.290000001,11822940.766666666,5925303.082538452,9996296.950715613,810078
Thursday,sunny,summer,day,not manhattan,1084452.79,3536646.69,580268.52,4858943.71,3723823.8333333335,562075.3063541821,1296778.905069841,114015
Thursday,sunny,summer,night,manhattan,707446.55,2907223.09,587849.72,4440259.42,3077596.0666666664,1248667.3999481373,3065055.434403477,240711
Thursday,sunny,summer,night,not manhattan,428724.71,1302262.79,212661.84,1747170.67,975970.1666666666,130256.96858918524,470115.1348469946,40859
Thursday,sunny,winter,day,manhattan,1662975.29,8566236.46,1698027.67,13080410.74,10099306.966666667,5393345.167413935,8953012.575753722,719349
Thursday,sunny,winter,day,not manhattan,849655.52,2921389.06,487653.56,4034349.04,2875777.35,448548.2679192499,1053422.7009800053,91035
Thursday,sunny,winter,night,manhattan,476664.45,2034293.18,411783.18,3124795.19,1995697.2666666666,843909.6113024264,2131228.792181126,167011
Thursday,sunny,winter,night,not manhattan,244822.45,793184.06,130806.58,1069164.8699999999,532798.95,79030.36152594927,289172.18766518414,25023
Friday,rainy,fall,day,manhattan,166223.11,835494.84,162887.25,1246943.58,1036100.4833333333,545654.7554076874,857682.7870473077,69134
Friday,rainy,fall,day,not manhattan,102504.85,336207.38,57103.63,458705.69,359832.18333333335,51153.57208914492,120643.71214076974,10293
Friday,rainy,fall,night,manhattan,99862.75,439614.9,90021.58,674394.77,500526.0833333333,221876.85052724002,474915.96210610395,36923
Friday,rainy,fall,night,not manhattan,60856.34,184762.95,33198.65,252678.3,140296.35,19378.270378076202,71483.00442683457,5850
Friday,rainy,spring,day,manhattan,417707.2,2051757.92,412897.27,3158525.5,2569341.0,1276881.6742047903,2150336.671022699,173000
Friday,rainy,spring,day,not manhattan,234350.18,781951.15,132449.77,1078595.49,917897.1,127289.07787482032,282589.177290727,24246
Friday,rainy,spring,night,manhattan,151533.68,636738.8,126294.45,974496.31,685610.7833333333,295768.5771473133,679005.8799704915,54429
Friday,rainy,spring,night,not manhattan,105091.46,317612.96,53685.7,428882.94,234761.6,30400.53249565205,115305.96812042836,9890
Friday,rainy,summer,day,manhattan,348592.47,1656593.89,317575.27,2520006.97,2009888.6333333333,990347.6370268592,1678930.267373726,140583
Friday,rainy,summer,day,not manhattan,202173.7,657331.23,106050.68,902311.88,712669.6166666667,97470.27896324264,228716.86671351024,20591
Friday,rainy,summer,night,manhattan,24418.04,92869.53,17939.43,139752.07,88855.71666666666,32358.01371345679,89243.47294121326,7204
Friday,rainy,summer,night,not manhattan,14758.68,44956.5,7147.81,59591.54,28320.066666666666,3673.9017041987245,14887.586380497129,1353
Friday,rainy,winter,day,manhattan,645115.79,3358955.07,670222.46,5150834.59,3922683.716666667,2164335.91678863,3645349.831002315,291777
Friday,rainy,winter,day,not manhattan,331455.71,1128346.43,182721.49,1544365.79,1104728.9833333334,169212.02865382095,400093.41198633,35130
Friday,rainy,winter,night,manhattan,179187.02,760015.18,153296.04,1165047.64,771258.1166666667,332584.625681788,795079.6321434499,62464
Friday,rainy,winter,night,not manhattan,79109.54,251869.46,41107.33,339209.43,180658.11666666667,26135.011212368016,90157.87685697977,7930
Friday,sunny,fall,day,manhattan,2205265.44,10740811.81,2114304.78,16265712.66,13340300.533333333,6551382.7968392335,10732148.08963718,868497
Friday,sunny,fall,day,not manhattan,1353628.59,4437818.79,759219.19,6118980.92,4952328.516666667,661523.9964738198,1557147.5231193504,133336
Friday,sunny,fall,night,manhattan,762355.2,3262621.55,651931.46,4963920.86,3605251.1666666665,1536017.615652191,3366346.692398967,266168
Friday,sunny,fall,night,not manhattan,388149.86,1190089.14,198607.36,1609611.21,921585.2666666666,133372.02646863498,447501.29381224123,38666
Friday,sunny,spring,day,manhattan,2169579.07,10231323.39,2026236.81,15613529.120000001,12262875.716666667,6015279.893602393,10704438.164843457,870097
Friday,sunny,spring,day,not manhattan,1143976.03,3696839.42,630310.18,5106552.62,3981290.5166666666,550245.4732945648,1364127.2794656486,117032
Friday,sunny,spring,night,manhattan,730177.49,3056240.71,615016.98,4685748.19,3252324.3,1396270.8997862618,3265171.030337866,258674
Friday,sunny,spring,night,not manhattan,334293.6,1020920.97,173785.99,1385378.6199999999,775979.0333333333,114348.49408189156,398116.2288416322,33837
Friday,sunny,summer,day,manhattan,1953458.05,9044071.79,1747146.25,13778531.58,10680381.883333333,5163629.3956926,9194505.387240533,764985
Friday,sunny,summer,day,not manhattan,1150002.73,3694650.21,598837.76,5050635.81,3805770.3,512095.9545195994,1281093.2275271746,114757
Friday,sunny,summer,night,manhattan,800166.48,3369406.17,658927.24,5121259.39,3652125.4166666665,1543495.9241665723,3442856.164197713,278371
Friday,sunny,summer,night,not manhattan,448493.75,1367525.32,220901.76,1827974.33,1056240.65,138839.52006705746,478982.1157799969,42526
Friday,sunny,winter,day,manhattan,1413637.51,7193948.36,1425652.45,11094412.47,8306922.816666666,4412669.881272292,7551125.708140151,612953
Friday,sunny,winter,day,not manhattan,779027.58,2668527.04,450252.51,3698000.7399999998,2566346.716666667,384345.21363913035,945252.1234971298,81318
Friday,sunny,winter,night,manhattan,514312.87,2320549.55,468991.96,3572138.08,2410828.05,1099642.2196179265,2460334.1218380337,193216
Friday,sunny,winter,night,not manhattan,236611.84,781045.53,129591.9,1056971.26,541026.2833333333,85721.06126091785,285075.70888135216,24701
Saturday,rainy,fall,day,manhattan,149440.79,697643.79,134803.45,1044985.5700000001,800884.3666666667,409763.6791387664,746965.502137802,60503
Saturday,rainy,fall,day,not manhattan,88741.67,279265.75,45512.6,375375.4,242081.75,37422.12240226681,99432.51909864372,8833
Saturday,rainy,fall,night,manhattan,120156.98,492557.46,98376.01,751414.04,521306.61666666664,213935.23289189683,518250.24955835275,40774
Saturday,rainy,fall,night,not manhattan,40300.56,124219.14,20330.75,165885.12,90501.56666666667,14935.572262703943,48865.86353092417,4256
Saturday,rainy,spring,day,manhattan,788481.9,3713723.21,717316.57,5575893.45,4299696.9,2194839.690538046,4064956.0794077674,330254
Saturday,rainy,spring,day,not manhattan,385454.55,1219172.78,200635.58,1655648.06,1112422.8666666667,180115.77050679125,467724.6615777512,40838
Saturday,rainy,spring,night,manhattan,223558.24,958511.91,188755.52,1468213.81,1053669.1,473637.3655507045,1024000.9189378553,82590
Saturday,rainy,spring,night,not manhattan,95303.44,290976.2,47571.99,391143.33999999997,225546.56666666665,34870.59551387315,110560.8768865147,9753
Saturday,rainy,summer,day,manhattan,216455.38,962461.66,176774.7,1428934.24,1068191.7,502949.7884743508,974267.7885806886,82914
Saturday,rainy,summer,day,not manhattan,116288.03,365476.04,57049.909999999996,489639.3,332332.6,45859.730881367985,125614.98502671302,11488
Saturday,rainy,summer,night,manhattan,20357.41,84491.84,16327.94,127918.48,89067.88333333333,37555.07275957051,84748.64339377102,6914
Saturday,rainy,summer,night,not manhattan,8358.22,25730.03,4230.78,34284.409999999996,20505.88333333333,2928.6307170744712,9012.806892899744,820
Saturday,rainy,winter,day,manhattan,329729.46,1649369.9,310852.75,2463473.65,1790399.3333333333,939238.1585159046,1692671.4355505006,139265
Saturday,rainy,winter,day,not manhattan,194358.14,650123.95,106599.43,874321.75,501788.4666666667,76215.78097763496,217827.60436303294,19124
Saturday,rainy,winter,night,manhattan,85549.69,401961.02,78782.62,617895.12,396995.61666666664,183037.99119846063,403067.82556245656,32550
Saturday,rainy,winter,night,not manhattan,55987.05,195527.88,31918.73,260627.45,120676.41666666666,16400.086762733325,59275.113708687066,5232
Saturday,sunny,fall,day,manhattan,1999585.44,9543161.56,1794879.14,14090042.64,11385163.016666666,5520716.283248293,9492592.140787765,779266
Saturday,sunny,fall,day,not manhattan,1134273.01,3598735.53,588430.03,4845773.82,3446239.4833333334,486856.1312721088,1258044.0831362072,111381
Saturday,sunny,fall,night,manhattan,903028.3,3932915.11,780430.96,5965831.33,4452479.233333333,1907176.8155913432,4070077.5581068704,321610
Saturday,sunny,fall,night,not manhattan,349149.3,1084454.17,175945.46,1451875.54,841907.5333333333,134782.09540911336,415224.7576657832,36471
Saturday,sunny,spring,day,manhattan,1526075.78,7053984.58,1341591.27,10511401.84,8104770.016666667,3910771.3612337513,7335132.680367628,602352
Saturday,sunny,spring,day,not manhattan,774125.5,2430674.5,397195.72,3282310.82,2200216.2,320153.1297493169,885732.0459751013,77894
Saturday,sunny,spring,night,manhattan,842706.32,3529503.64,707474.69,5406030.85,3789635.9499999997,1615671.672701579,3814158.479342503,301405
Saturday,sunny,spring,night,not manhattan,310334.19,957623.14,155694.75,1285584.2,733824.1166666667,116302.80931640355,375584.36250992655,33056
Saturday,sunny,summer,day,manhattan,1868038.58,8390455.28,1552196.09,12465536.58,9402655.516666666,4458166.187505155,8467730.50981439,714008
Saturday,sunny,summer,day,not manhattan,1022517.12,3217316.97,508057.66,4310248.47,2931819.1666666665,411420.6104764144,1112715.8061388598,101375
Saturday,sunny,summer,night,manhattan,962338.02,4025910.74,777894.13,6108100.17,4354611.8,1817033.4038982906,4122680.79536704,335350
Saturday,sunny,summer,night,not manhattan,421169.11,1298164.26,201316.83,1720494.02,1034505.45,146218.6582801442,457481.62075668346,42068
Saturday,sunny,winter,day,manhattan,1560059.48,7667216.6,1483838.73,11514523.9,8594572.933333334,4511565.746586056,8356866.701554113,674126
Saturday,sunny,winter,day,not manhattan,741538.48,2437298.45,393012.27,3287840.95,2036133.4,334417.2430783308,889324.5358901971,78641
Saturday,sunny,winter,night,manhattan,832083.93,3653365.78,736708.84,5610281.82,3869865.5,1736404.4864160381,3951568.4007057403,309244
Saturday,sunny,winter,night,not manhattan,272455.57,885954.95,140383.99,1179604.33,625519.3333333334,108617.74003837527,333523.8909742434,29714
Sunday,rainy,fall,day,manhattan,509990.21,2293332.0,433715.91,3404312.87,2613955.1166666667,1211061.4751824504,2271061.987431662,185920
Sunday,rainy,fall,day,not manhattan,418291.2,1291794.33,222320.43,1749738.65,1168610.25,138537.1767329684,442838.1748625899,37096
Sunday,rainy,fall,night,manhattan,124824.78,513526.14,96533.81,781275.42,540836.0833333334,228594.59880359095,517426.84886271745,43802
Sunday,rainy,fall,night,not manhattan,130753.06,388043.62,64765.53,522178.01,277190.3833333333,30857.128651628398,130132.82806088621,11214
Sunday,rainy,spring,day,manhattan,426744.56,1847070.21,356666.92,2779651.8,1975454.8166666667,926175.2746389861,1971693.1837969308,160370
Sunday,rainy,spring,day,not manhattan,277571.03,851729.91,151088.79,1165033.05,733875.0,93393.54921588134,314871.5213902497,25877
Sunday,rainy,spring,night,manhattan,161359.68,642905.45,126266.02,983563.11,678997.9333333333,274407.39005179267,686654.3588515755,55150
Sunday,rainy,spring,night,not manhattan,76215.54,229135.07,38351.77,307090.81,164300.5,22539.475501060893,85661.81874287555,7432
Sunday,rainy,summer,day,manhattan,328591.94,1417023.04,263555.17,2098554.1,1531453.1166666667,685300.7736948617,1377093.049267829,114925
Sunday,rainy,summer,day,not manhattan,248518.16,767331.97,126821.97,1032434.79,680981.9833333333,78728.22219809024,253302.65391098268,22237
Sunday,rainy,summer,night,manhattan,68282.99,276055.39,53423.55,420916.51,281700.68333333335,116079.52075065004,286949.7466744559,23436
Sunday,rainy,summer,night,not manhattan,54767.89,163574.14,28418.38,219888.71,120554.58333333333,13258.850716296061,55852.44728071177,4659
Sunday,rainy,winter,day,manhattan,332445.48,1487170.85,295838.36,2256753.12,1633163.8666666667,815965.4680636589,1704800.064489939,134791
Sunday,rainy,winter,day,not manhattan,238868.78,730970.88,126095.12,991496.7,604003.45,79486.1009641768,267781.8286952742,22286
Sunday,rainy,winter,night,manhattan,56740.85,229165.36,44410.56,354691.69,227272.75,100639.50190376242,255756.07634288876,21004
Sunday,rainy,winter,night,not manhattan,81200.24,237102.54,41315.32,318459.7,158275.88333333333,16779.024934323414,82120.71706191337,6812
Sunday,sunny,fall,day,manhattan,1373886.06,5992017.51,1141256.18,8906636.290000001,6513202.316666666,2961355.7396243894,5920075.135440423,483108
Sunday,sunny,fall,day,not manhattan,973189.41,3012092.02,513432.05,4077497.34,2565336.533333333,316671.6173561084,1044833.1411976418,88857
Sunday,sunny,fall,night,manhattan,661448.36,2658254.08,521899.15,4038491.93,2733418.4,1090672.9762445628,2734691.7324703443,218577
Sunday,sunny,fall,night,not manhattan,349056.39,1056410.84,179207.19,1424050.7,733093.6833333333,100937.01439589732,397356.02397013875,33888
Sunday,sunny,spring,day,manhattan,1728230.36,7376931.11,1395674.32,10992508.370000001,7834101.316666666,3506925.015570716,7423682.123334725,612313
Sunday,sunny,spring,day,not manhattan,1141478.09,3528660.53,605502.02,4780882.69,3079350.4,376860.16404696484,1245498.9199244757,105163
Sunday,sunny,spring,night,manhattan,667112.92,2659299.38,515820.69,4054406.54,2672393.2333333334,1078803.6627160502,2769866.1955136084,225490
Sunday,sunny,spring,night,not manhattan,442827.0,1317739.74,228259.08,1776850.8699999999,905920.1666666666,112511.43759553586,477282.3178599975,40110
Sunday,sunny,summer,day,manhattan,1548584.28,6568957.31,1207260.12,9739461.53,6949690.383333333,3083985.05365473,6345551.879548007,538408
Sunday,sunny,summer,day,not manhattan,1124748.9,3460430.64,571613.82,4653517.61,3018922.7666666666,356436.61530546425,1164333.0519934883,102158
Sunday,sunny,summer,night,manhattan,727885.07,2911354.36,552100.7,4408011.22,2973427.45,1181547.9684616083,2934432.5879987194,242133
Sunday,sunny,summer,night,not manhattan,431290.53,1302229.49,213351.1,1736586.09,969887.3166666667,119717.13697744255,454560.87106629915,40016
Sunday,sunny,winter,day,manhattan,1299112.23,5814444.24,1120973.48,8741357.57,6088631.316666666,2975059.997957997,6250785.579296208,506192
Sunday,sunny,winter,day,not manhattan,858995.21,2712196.38,453362.72,3666959.4899999998,2130245.2333333334,288238.72983105073,953687.6236119906,82130
Sunday,sunny,winter,night,manhattan,601759.26,2461525.08,489064.78,3778954.7,2447072.9,1030065.0095294324,2657471.155299539,211161
Sunday,sunny,winter,night,not manhattan,315493.46,974451.13,162612.7,1307460.6,637330.5333333333,89422.15914520728,356595.10240598366,30710
